Table Name,State Code,District Code,Area Name,Division,Sub Division,NCO Name,Total/Rural/Urban,Industrial Category - Total - Persons,Industrial Category - Total - Males,Industrial Category - Total - Females,"Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Persons","Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Males","Industrial Category - A (Excluding Cultivators, Agricultural Labourers) - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0123A,29,560,District - Koppal,7,72,"Metal, Machinery and Related Trades Workers",Rural,3294,3222,72,8,8,0,2,2,0,222,204,18,1042,1024,18,310,306,4,108,108,0,0,0,0,982,978,4,194,192,2,0,0,0,0,0,0,132,132,0,0,0,0,22,16,6,0,0,0,0,0,0,272,252,20
B0123A,29,560,District - Koppal,7,72,"Metal, Machinery and Related Trades Workers",Urban,3580,3506,74,2,2,0,0,0,0,42,42,0,790,772,18,306,296,10,110,110,0,0,0,0,1672,1650,22,226,220,6,2,2,0,0,0,0,120,118,2,2,2,0,54,44,10,2,2,0,0,0,0,252,246,6
B0123A,29,560,District - Koppal,7,73,"Precision, Handicraft, Printing and Related Trades Workers",Total,1212,1028,184,6,0,6,24,22,2,342,262,80,630,558,72,2,0,2,20,20,0,6,6,0,66,54,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,92,82,10
B0123A,29,560,District - Koppal,7,73,"Precision, Handicraft, Printing and Related Trades Workers",Rural,776,638,138,0,0,0,14,14,0,278,204,74,378,330,48,2,0,2,20,20,0,6,6,0,24,12,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,48,2
B0123A,29,560,District - Koppal,7,73,"Precision, Handicraft, Printing and Related Trades Workers",Urban,436,390,46,6,0,6,10,8,2,64,58,6,252,228,24,0,0,0,0,0,0,0,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,42,34,8
B0123A,29,560,District - Koppal,7,74,Other Craft and Related Trades Workers,Total,12742,6440,6302,34,20,14,12,12,0,3158,1334,1824,8704,4596,4108,6,6,0,32,30,2,0,0,0,332,250,82,18,10,8,74,32,42,0,0,0,6,6,0,22,22,0,16,4,12,26,6,20,146,68,78,156,44,112
B0123A,29,560,District - Koppal,7,74,Other Craft and Related Trades Workers,Rural,9534,4928,4606,28,20,8,12,12,0,2474,1134,1340,6574,3514,3060,0,0,0,24,24,0,0,0,0,200,164,36,6,4,2,40,14,26,0,0,0,6,6,0,8,8,0,8,2,6,18,0,18,8,0,8,128,26,102
B0123A,29,560,District - Koppal,7,74,Other Craft and Related Trades Workers,Urban,3208,1512,1696,6,0,6,0,0,0,684,200,484,2130,1082,1048,6,6,0,8,6,2,0,0,0,132,86,46,12,6,6,34,18,16,0,0,0,0,0,0,14,14,0,8,2,6,8,6,2,138,68,70,28,18,10
B0123A,29,560,District - Koppal,8,00,Plant and Machine Operators and Assemblers,Total,18300,16828,1472,262,234,28,222,198,24,170,112,58,4508,3366,1142,306,298,8,678,640,38,0,0,0,484,452,32,10910,10828,82,78,44,34,0,0,0,22,22,0,6,6,0,286,270,16,74,72,2,0,0,0,294,286,8
B0123A,29,560,District - Koppal,8,00,Plant and Machine Operators and Assemblers,Rural,12822,11782,1040,214,202,12,196,172,24,148,100,48,3294,2490,804,238,230,8,564,526,38,0,0,0,272,252,20,7468,7430,38,58,24,34,0,0,0,10,10,0,0,0,0,166,154,12,34,34,0,0,0,0,160,158,2
